entry_time,exit_time,direction,entry,exit,pnl,signal_type,entry_rsi,entry_adx,entry_bb_width,entry_bb_pos,entry_ma5,entry_ma20,entry_ma60,entry_mom_10,entry_mom_20,entry_rvol_20,entry_macd_flip_20,entry_diff_15m,entry_dea_15m,entry_ma_aligned_bull,entry_ma_aligned_bear,entry_above_ma20,entry_above_ma60,contract
2024-01-22 22:15:00,2024-01-22 22:35:00,-1,7446.0,7465.0,-19.0,2S,48.78048780487806,24.68324878810763,0.5464860109482601,0.24484233521684648,7452.0,7458.4,7475.466666666666,-0.26780931976432276,-0.3211991434689532,0.128079923599965,5.0,-9.249885772207563,-5.592757899735553,0,1,1,0,P2405
2024-01-25 14:05:00,2024-01-25 14:20:00,1,7552.0,7539.0,-13.0,2B,46.875,44.92893199724998,0.5685832603035871,0.6328454608726868,7548.0,7546.3,7532.6,0.052994170641218474,0.34546904065904105,0.1121088365879479,1.0,13.96560078532002,11.896004096600315,1,0,0,1,P2405
2024-01-26 11:10:00,2024-01-26 13:30:00,-1,7496.0,7507.0,-11.0,2S,72.97297297297297,27.080515154066518,0.7994156576388618,0.7443125458712924,7496.8,7475.4,7505.9,0.37523452157599557,0.08017103153394878,0.12201877284269527,1.0,-14.175722126564324,-10.293238798286389,0,0,1,1,P2405
2024-02-02 13:35:00,2024-02-02 14:30:00,-1,7060.0,7040.0,20.0,2S,50.0,18.84037441846834,0.5058933463304335,0.27074269346030483,7066.0,7070.2,7096.5,-0.31055900621117516,-0.3386960203217604,0.13589446174824402,2.0,-12.309704438110202,-9.983476970398856,0,1,0,0,P2405
2024-02-07 09:00:00,2024-02-07 09:10:00,1,7150.0,7135.0,-15.0,2B,53.33333333333333,26.90468829534628,0.26572291663504116,0.5579547590233339,7145.2,7142.9,7127.633333333333,-0.05595970900951208,-0.05595970900951208,0.08352779353425745,1.0,14.2184351807864,13.30350519108905,1,0,0,0,P2405
2024-02-20 09:40:00,2024-02-20 10:55:00,1,7326.0,7311.0,-15.0,3B,50.0,35.51775456894672,0.579876038449131,0.43893556899176567,7328.4,7342.6,7298.4,-0.05446623093682268,-0.27173913043477826,0.11147218179522388,1.0,37.611576512716056,36.70758419176631,0,0,0,1,P2405
2024-02-27 22:05:00,2024-02-28 09:00:00,1,7398.0,7390.0,-8.0,3B,72.5,44.297923178355965,0.9707522899206601,0.6729996005439867,7394.0,7383.6,7363.833333333333,0.027048958615094598,0.5984766050054491,0.10947618707319211,2.0,17.337428585969064,14.516179952963032,1,0,1,1,P2405
2024-03-01 13:35:00,2024-03-01 14:35:00,1,7546.0,7550.571428571428,4.5714285714284415,3B,68.88888888888889,76.06713254993089,0.6746799464859394,0.8384341724577208,7542.0,7532.8,7506.866666666667,0.026497085320609237,0.5326231691078487,0.10551360201289459,1.0,19.761056107849072,17.25505538927458,1,0,1,1,P2405
2024-03-04 14:05:00,2024-03-04 14:35:00,-1,7490.0,7513.0,-23.0,2S,47.368421052631575,19.927137582988856,0.3009681080164442,0.30503188434317186,7498.8,7498.4,7517.366666666667,-0.13326226012793096,-0.2927088877062278,0.11267620144627932,1.0,-6.396335291859941,-3.0639834239152997,0,0,1,1,P2405
2024-03-05 09:00:00,2024-03-05 09:30:00,-1,7466.0,7489.0,-23.0,2S,57.14285714285714,37.74983502262604,0.36466677160135663,0.3422382417013819,7479.2,7474.3,7491.866666666667,-0.053518865400048465,0.0,0.06114264073067329,1.0,-10.54387899392077,-9.666470946382457,0,0,1,1,P2405
2024-03-06 14:55:00,2024-03-06 15:00:00,1,7660.0,7660.285714285715,0.2857142857146755,3B,65.71428571428572,46.19557288319148,0.5120379024097881,0.938482447017522,7662.0,7660.8,7619.166666666667,0.05212405525150121,0.3660130718954324,0.0913485120881102,3.0,32.56124910372637,30.054932763760938,1,0,1,1,P2405
2024-03-12 14:30:00,2024-03-12 21:00:00,1,7838.0,7820.0,-18.0,2B,62.50000000000001,38.63964478598256,0.9154626024759386,0.7736304466152139,7834.8,7824.4,7813.8,0.12764871074801842,0.4610655737705027,0.16029874546811876,2.0,10.486020496775382,9.055482835505273,1,0,0,1,P2405
2024-03-14 09:00:00,2024-03-14 11:30:00,1,7960.0,8103.428571428572,143.42857142857156,3B,74.07407407407408,22.348904407845392,0.6856835537167977,1.021276215026767,7956.0,7945.6,7896.733333333334,0.4282115869017611,0.45351473922903285,0.15940855944663884,1.0,27.9497303943117,23.897358251188823,1,0,1,1,P2405
2024-03-14 13:40:00,2024-03-14 14:50:00,1,8102.0,8130.857142857143,28.857142857143117,3B,56.56565656565656,56.321222889961476,1.1820051602046988,0.48746513242940265,8096.8,8099.2,8003.9,-0.5159705159705208,0.7464543418760794,0.20903831873150247,1.0,58.96748143413697,49.705441732024084,0,0,1,1,P2405
2024-03-15 21:40:00,2024-03-15 21:50:00,-1,8106.0,8137.0,-31.0,2S,39.43661971830985,19.476184172498915,1.104373910968116,0.4118597525452129,8118.8,8115.9,8136.566666666667,0.2968827313211353,-0.24606299212598381,0.19963112374454575,4.0,-4.53264572331409,3.5521964968509443,0,0,1,1,P2405
2024-03-20 14:30:00,2024-03-20 21:05:00,1,8314.0,8345.142857142857,31.142857142856883,3B,75.47169811320754,65.72404771884123,1.8002290762558892,0.7382039330935553,8307.6,8278.5,8207.233333333334,0.14454348349794977,1.3408093612871763,0.14165437786239182,1.0,35.7773099957667,21.74743624870014,1,0,1,1,P2405
2024-03-20 21:40:00,2024-03-21 09:05:00,1,8368.0,8414.285714285714,46.285714285713766,3B,69.84126984126983,47.468159353957404,1.1320424888326548,0.8484254282894965,8362.4,8341.1,8253.666666666666,0.09562514941430234,0.964552688690623,0.12862878715043669,3.0,48.75228912868806,38.14005381720742,1,0,1,1,P2405
2024-03-22 11:20:00,2024-03-22 21:00:00,-1,8314.0,8282.57142857143,31.42857142857065,2S,49.00000000000001,46.51538443433598,1.2164095782700701,0.6059383530830259,8315.2,8303.3,8330.7,0.6537530266343738,-0.5978000956480156,0.23070417395518983,1.0,-12.138222219689851,-3.598722755831862,0,0,0,0,P2405
2024-03-29 13:45:00,2024-03-29 21:10:00,1,8154.0,8202.857142857143,48.85714285714312,3B,54.385964912280706,46.67274095654578,0.6251759939963715,0.4274687371576183,8154.4,8159.7,8094.633333333333,-0.17135862913096878,0.2951303492375823,0.1877218299758466,3.0,19.00167482009965,8.748038700615483,0,0,1,1,P2405
2024-04-12 14:00:00,2024-04-12 14:30:00,-1,8174.0,8197.0,-23.0,2S,45.070422535211264,6.038086868883139,0.9736366436102539,0.35713107222953383,8181.6,8195.4,8217.533333333333,-0.4621746533690074,-0.04885197850512668,0.17560828526081015,2.0,-9.420167156369644,-7.106814129419158,0,1,0,0,P2405
2025-02-05 11:15:00,2025-02-05 21:05:00,1,8538.0,8568.0,30.0,3B,38.63636363636363,56.62142824807721,1.6138735657685759,0.35601674716993,8521.6,8563.9,8493.9,-0.6280530355896707,-0.3731343283582045,0.19943975187806864,1.0,47.699094922219956,47.94784387103448,0,0,1,1,P2505
2025-02-06 22:10:00,2025-02-06 22:35:00,1,8736.0,8717.0,-19.0,3B,84.61538461538461,26.54429290870616,0.6920848712903012,0.914299085988464,8730.8,8719.0,8671.366666666667,0.20628008251202257,0.22925263640531934,0.10353416346206076,0.0,44.24816204483068,42.54919025443021,1,0,0,1,P2505
2025-02-11 10:55:00,2025-02-11 11:05:00,1,9084.0,9053.0,-31.0,3B,50.70422535211267,57.79583686858228,0.8318830682038616,0.44049376710224497,9076.0,9090.5,9021.733333333334,-0.19771528998242527,0.5533421868083144,0.17429150525361034,1.0,53.938264490063375,46.5697910126204,0,0,0,1,P2505
2025-02-13 21:10:00,2025-02-13 21:50:00,-1,8914.0,8957.0,-43.0,2S,38.59649122807018,51.599194512986514,0.42460621062532866,0.12592837375100913,8935.6,8940.2,9032.166666666666,-0.22356360384528928,-0.33497096918266855,0.15008918838701032,1.0,-47.77148309724362,-34.6889824631901,0,1,1,0,P2505
2025-02-14 11:00:00,2025-02-14 14:25:00,1,9018.0,9048.857142857143,30.857142857143117,2B,42.98245614035088,53.916113657523525,1.5496508029764744,0.255541358296119,9002.0,9054.3,8986.333333333334,-0.7263922518159771,-0.26536930561698036,0.23530227517406413,1.0,0.7006828096273239,-11.707075619567066,0,0,0,1,P2505
2025-02-19 22:00:00,2025-02-19 22:55:00,1,9234.0,9221.0,-13.0,3B,61.36363636363637,43.371669507856936,1.2416946240890918,0.6056925457954141,9230.8,9219.9,9184.633333333333,-0.30237580993520696,0.5007620291748394,0.22376484462029025,2.0,39.28558878487274,36.15439546508105,1,0,1,1,P2505
2025-02-20 14:45:00,2025-02-20 21:05:00,1,9344.0,9347.42857142857,3.428571428570649,3B,54.285714285714285,25.396795428279194,0.2980561525807752,0.6220992709612265,9341.6,9342.6,9280.966666666667,-0.042780748663107104,0.15002143163309611,0.07612767154467144,1.0,46.74366710907634,43.508733565353474,0,0,1,1,P2505
2025-02-24 23:00:00,2025-02-25 09:50:00,-1,9160.0,9185.0,-25.0,2S,62.96296296296296,42.02673153528114,0.38443485086746254,0.5625033984878791,9164.4,9155.8,9196.933333333332,0.0655594405594373,-0.10907504363001364,0.10037479693689276,1.0,-38.912307270806195,-38.022006910743386,0,0,1,0,P2505
2025-03-03 13:55:00,2025-03-03 21:30:00,-1,9040.0,9069.0,-29.0,2S,32.203389830508485,31.234360678880872,1.1768794168355827,0.3368368883764047,9051.6,9061.4,9091.033333333333,0.15503875968991832,-0.26466696074106677,0.1627501695670077,3.0,-11.313094548208028,-4.53880485962756,0,1,1,0,P2505
2025-03-06 13:40:00,2025-03-06 21:10:00,1,8856.0,8940.285714285714,84.28571428571377,2B,53.03030303030303,34.36987932248589,0.5122921260480737,0.6256900940906909,8854.0,8852.3,8820.633333333333,0.24898143956542107,0.24898143956542107,0.1394902882602903,1.0,11.18628151385019,2.63929870068047,1,0,1,1,P2505
2025-03-07 22:20:00,2025-03-10 09:10:00,1,9156.0,9206.0,50.0,3B,33.33333333333333,55.619412897813405,1.3786560703678885,0.6269193466702213,9152.8,9144.0,9042.733333333334,0.021838829438736163,0.9922822491730932,0.18519881786927828,1.0,59.873860449908534,47.99955234151696,1,0,1,1,P2505
2025-03-10 10:00:00,2025-03-10 10:50:00,1,9228.0,9195.0,-33.0,3B,60.56338028169014,70.68081823504203,0.937191056923809,0.7341324977771669,9220.4,9205.8,9121.933333333332,0.08678672163158208,0.72052401746725,0.13364890560983952,2.0,66.79846105890647,62.33105342940649,1,0,0,1,P2505
2025-03-12 10:50:00,2025-03-12 14:55:00,1,8998.0,9044.857142857143,46.85714285714312,2B,51.807228915662655,26.027884995639283,0.845340105107535,0.6000452267540684,8991.6,8986.4,8953.966666666667,-0.13324450366422047,0.6040268456375841,0.15847850678925643,2.0,2.5645398354590725,-8.052704370101576,1,0,1,1,P2505
2025-03-12 21:20:00,2025-03-12 22:00:00,1,9044.0,9011.0,-33.0,2B,42.30769230769231,40.23454065502464,0.6391524687744248,0.2633022826328462,9038.8,9055.7,9009.066666666668,-0.1325381047051044,-0.2647253474520217,0.17490354089697668,1.0,23.93086506432701,16.71800893284264,0,0,0,1,P2505
2025-03-17 22:40:00,2025-03-18 09:05:00,-1,8974.0,9002.0,-28.0,2S,65.95744680851064,47.43672822591782,0.5527861554702517,0.790553409191095,8980.0,8965.6,9033.666666666666,0.1338090990187224,-0.08900756564308443,0.1519938546736793,1.0,-36.042110762511584,-26.505224315856452,0,0,1,0,P2505
